"","logFC","logCPM","F","PValue","FDR"
"ENSG00000153956",5.64689272557395,-0.1931259792639,278.036135883986,2.14965708129027e-50,4.93862217855627e-46
"ENSG00000211658",4.3060421191252,0.980292403127204,183.449976067685,2.31983455151979e-34,2.66479394933078e-30
"ENSG00000147257",4.44729196635313,-0.401130916207236,148.504360720703,8.16427610770074e-30,6.25220264327722e-26
"ENSG00000130656",5.02371112225756,0.671084666426046,136.180979059041,3.67748093134025e-27,2.11216117291527e-23
"ENSG00000185070",3.60547447928116,-1.77741398091306,120.126899340216,7.6520137333645e-26,3.51594727020632e-22
"ENSG00000106178",3.99898914748533,0.787034076221198,113.114512778229,3.89583972451089e-23,1.36177649974779e-19
"ENSG00000171551",3.28662999909713,-1.7008303702815,106.051876408013,4.14922760435037e-23,1.36177649974779e-19
"ENSG00000139194",2.29682467222362,-1.79569339583394,98.6728137832013,1.83287768294897e-21,5.26356648600871e-18
"ENSG00000243978",2.55605077176454,-1.74151254322666,96.0638185052368,4.32364388200686e-21,1.10368216161362e-17
"ENSG00000129946",3.03344127651839,-1.98501295596794,88.8654467292577,7.08537773880376e-20,1.62779468171277e-16
"ENSG00000123999",2.34758904856945,-2.12964504510161,85.6562322617085,3.17583821627775e-19,6.63288247097864e-16
"ENSG00000186094",2.43022178916619,-1.67430149742848,86.308056241885,4.0571997806898e-19,7.76750898013062e-16
"ENSG00000256039",2.83422546652115,0.748321858485836,87.9682358923804,8.4645135423121e-19,1.49587487785445e-15
"ENSG00000134028",3.09096442143019,1.85736296526033,83.3139463490315,5.58023357982106e-18,9.15716330448636e-15
"ENSG00000118785",3.54115758682837,3.31797116189722,73.1835334370547,3.61789446404304e-16,5.54116716112832e-13
"ENSG00000010379",2.47117443366126,-1.36617584014964,68.8570246412145,1.08001516582955e-15,1.5507667762355e-12
"ENSG00000185483",2.43388566853804,-2.16624488134864,62.6027484190419,1.05691633725369e-14,1.42832917247448e-11
"ENSG00000153531",1.60644085613001,0.141714584416454,63.6864095887048,2.05516878216178e-14,2.54845626424937e-11
"ENSG00000168334",3.02187224286942,-0.239436234082771,63.2278809142199,2.14670324248021e-14,2.54845626424937e-11
"ENSG00000249992",2.76884899555856,1.28600953050805,63.5561607851066,2.21855685927516e-14,2.54845626424937e-11
"ENSG00000230216",1.69064080653492,-0.920806581375221,59.3002267908785,1.10563200033271e-13,1.20956140836398e-10
"ENSG00000160224",2.8628819974422,-1.38053307229906,57.5426186729979,1.42206832931203e-13,1.48502717261885e-10
"ENSG00000105717",2.07494527926876,2.07447794154498,59.0321132690023,1.54617943741996e-13,1.54443158240375e-10
"ENSG00000054356",2.55169068351556,-2.01569655230715,55.9695427979277,2.40865489637765e-13,2.3056848995575e-10
"ENSG00000074219",2.44508975761019,-0.952267411738301,57.0600695578059,2.73329508479483e-13,2.51178885112306e-10
"ENSG00000253364",2.0142591060195,-2.02969197285505,55.749083665767,2.91033169032285e-13,2.57161385590297e-10
"ENSG00000150625",2.14822600438091,-2.01159497295485,55.0025857171015,4.24783596955825e-13,3.61443642831967e-10
"ENSG00000174460",2.67085920646626,-0.592148758138414,54.9176285520704,7.49332757272338e-13,5.99737397936292e-10
"ENSG00000105509",3.04420503169954,-0.220100362643903,55.105283816922,7.57046423790044e-13,5.99737397936292e-10
"ENSG00000127990",2.09426393288232,-1.88268674329311,53.249121998637,1.010841872561e-12,7.74102706007211e-10
"ENSG00000127533",2.74762411248253,0.764263325179774,54.1490588304031,1.30168726018418e-12,9.64676229531333e-10
"ENSG00000115705",-4.31475220338096,-1.00219775258385,52.3002721607562,1.50984672316498e-12,1.08397558181226e-09
"ENSG00000076706",2.55214228794617,1.61783418086291,53.6330776473237,1.66441349466115e-12,1.15873441291955e-09
"ENSG00000065361",1.74556380900245,-2.0958885259979,51.5055893021245,2.15896805419225e-12,1.45882741402979e-09
"ENSG00000250274",1.96090728861598,-1.65201784252641,50.1082121832044,4.78791076464734e-12,3.14278462591451e-09
"ENSG00000172602",1.70519569436743,-0.203987241156799,50.7305694307192,5.81813671094553e-12,3.71294091103507e-09
"ENSG00000095752",2.51159756980157,-1.00386430184948,48.9554469158535,9.96271063422347e-12,6.18603551650406e-09
"ENSG00000240403",2.06894505413173,-2.444391836749,47.5284084655617,1.18002587469614e-11,7.13418801191291e-09
"ENSG00000272620",2.96153047212637,1.09780681676165,49.0783272613459,1.26683448965015e-11,7.46262963210837e-09
"ENSG00000070808",2.40704162110152,-1.3556831187478,47.9183317599443,1.41369526142369e-11,8.11955873398694e-09
"ENSG00000115194",2.45608688622817,-1.78047323722806,47.0144104283312,1.78597540905274e-11,1.00075607433116e-08
"ENSG00000242473",2.02868553226128,-2.387121324358,46.4059853684045,2.05722953042843e-11,1.12530455314435e-08
"ENSG00000105784",2.16455062622981,-1.9019142946795,46.6814114254539,2.15825839890609e-11,1.15311228968532e-08
"ENSG00000122176",2.46651363873331,-0.661679464342378,47.3420101957244,2.36883882510343e-11,1.23685689018014e-08
"ENSG00000205809",1.86603557124394,-2.19478283869525,46.1744880173311,2.46584722950996e-11,1.25889720557248e-08
"ENSG00000164879",1.65870341954434,-0.204919026411639,47.0678183700402,3.00233427974565e-11,1.49947016832341e-08
"ENSG00000136931",2.39200183495738,0.0126079242097677,46.5437937218087,3.72015707653302e-11,1.81844443992063e-08
"ENSG00000167772",3.22350801064149,1.37090034095126,44.5352138048946,9.70790718917779e-11,4.64644707842022e-08
"ENSG00000131771",2.46871772972183,-0.976807671838105,43.029609845898,1.49062997935244e-10,6.98892513176387e-08
"ENSG00000143839",2.83407683062527,-0.17237389822588,41.8685986666491,2.94859581907965e-10,1.35482080695072e-07
"ENSG00000175832",2.12002084302512,-1.15688741834374,41.5201339954898,3.18131056940379e-10,1.43308684355848e-07
"ENSG00000141404",1.43152541191176,-1.05058990597781,41.408531079528,3.53531981303238e-10,1.5619314881655e-07
"ENSG00000106211",1.30743920323471,5.82739916262939,40.8456710928549,5.20028062511138e-10,2.25417447323224e-07
"ENSG00000166159",1.84168574158925,-2.58976200978742,39.3417730001435,5.88623338942039e-10,2.5042652942323e-07
"ENSG00000197705",1.89216725011034,-0.538599376093293,40.2644727302388,6.44489599839265e-10,2.69209164849223e-07
"ENSG00000103723",2.0974884340154,-0.151568583544743,39.7183952531255,8.49804168096616e-10,3.48632159961637e-07
"ENSG00000236060",1.41289957983337,-0.262353116347235,39.5781485051025,9.16189486440202e-10,3.69272583534688e-07
"ENSG00000133110",-4.8303674681352,0.739196729260001,39.0863777206796,1.01563129206007e-09,4.02295056961864e-07
"ENSG00000174672",2.30134032022509,-1.48262545260094,38.6453196003392,1.03325125026275e-09,4.02337529212483e-07
"ENSG00000198797",-4.53951581869228,-1.48922247600061,38.1221029006729,1.34553428383444e-09,5.15205077280207e-07
"ENSG00000183873",2.61182082801992,0.604733032816839,37.530902464606,2.40610189233085e-09,9.06193194662442e-07
"ENSG00000015520",1.43248380105276,-2.06594146187606,36.4649689832227,2.79835891667706e-09,1.03692738309256e-06
"ENSG00000243144",2.24873662593119,-1.94948985769354,36.2024620240959,3.06635880697769e-09,1.08713928213572e-06
"ENSG00000224137",1.58375374697649,-1.3973974139007,36.6008698061441,3.0731933463562e-09,1.08713928213572e-06
"ENSG00000134817",2.24122752544346,-1.51157722312631,36.4856525320229,3.07582716718125e-09,1.08713928213572e-06
"ENSG00000105088",1.61116640141665,-1.20486055328171,36.3409029074976,3.64722307839705e-09,1.26956519701657e-06
"ENSG00000095794",0.938418232170182,3.60955015409948,36.1076796742217,4.64241728144737e-09,1.57176083016827e-06
"ENSG00000242265",1.66084327132959,-0.178364774132262,36.0809647685575,4.65220407640996e-09,1.57176083016827e-06
"ENSG00000207643",1.75807671827688,-2.43243815067778,35.0447678138561,5.01015955711038e-09,1.66816529949354e-06
"ENSG00000154165",1.83482660128048,-0.818181593696583,35.6392854412735,5.3560616961666e-09,1.75785944868188e-06
"ENSG00000123201",2.01235668345025,-1.54968255161059,35.242687343586,5.54556360006334e-09,1.79441941053317e-06
"ENSG00000224272",2.39146575961206,1.06262640120683,35.6534256897565,5.7887190560802e-09,1.84708377214426e-06
"ENSG00000105642",2.23571811020324,-0.740446366390406,35.2957442286706,6.24242534865702e-09,1.96456821863077e-06
"ENSG00000027869",1.42854541412033,2.64871534026677,34.9761810180863,7.86551975948814e-09,2.44192501289839e-06
"ENSG00000013619",1.87923780675514,1.33796384983421,34.7630590929488,8.74921626889017e-09,2.68005992748644e-06
"ENSG00000273445",1.7389716388145,-2.05180611588432,33.6244388243566,1.08188543330247e-08,3.27042578219619e-06
"ENSG00000187773",-3.82867183582447,-0.898660851278119,33.462123845275,1.2867711938632e-08,3.83925732569002e-06
"ENSG00000211645",1.77643659381551,-0.56038193936926,33.0282363986754,1.88209057718042e-08,5.50774718219134e-06
"ENSG00000132002",0.898959233673073,7.06199199417743,33.1032325337882,1.89393239049846e-08,5.50774718219134e-06
"ENSG00000137727",1.96407959103104,-1.09777372043666,32.6532751360702,2.01745432265498e-08,5.79362445108444e-06
"ENSG00000198400",2.06374670988674,3.28242870888725,32.4408279789601,2.58681493029665e-08,7.33697360600436e-06
"ENSG00000168938",1.88038456856766,-1.37240807040396,31.9205727850858,2.82899480540116e-08,7.92601544625442e-06
"ENSG00000227591",1.67981720411944,-1.11123805801049,31.9197684814092,2.97479212726478e-08,8.2340812447929e-06
"ENSG00000173068",1.59241996792935,-0.649359558503674,31.9623226527495,3.11739883910825e-08,8.52608582496105e-06
"ENSG00000114455",1.7059108250486,0.355178743905459,31.8530804778714,3.43164910466933e-08,9.27514194478509e-06
"ENSG00000197701",2.01608286656201,2.20648458280408,31.6096773141759,3.83190712809091e-08,1.02365388791582e-05
"ENSG00000258573",2.16946442765319,-1.78253744078849,30.8915468070426,4.30562408637671e-08,1.13698169839562e-05
"ENSG00000203867",1.67208819345731,-1.29321176938544,31.0893625720138,4.35743089700991e-08,1.13758656168075e-05
"ENSG00000163958",2.05923756488218,0.761499639946747,31.1070973811621,4.88961106329909e-08,1.26217892773296e-05
"ENSG00000137673",2.00518757990563,0.324378377759028,31.0714447925834,4.95805565727066e-08,1.26562634077929e-05
"ENSG00000183813",1.63788352360231,1.81770341169971,30.999235089357,5.12421234748094e-08,1.29366653264865e-05
"ENSG00000142619",-3.72587669122967,0.102677149749451,30.7946635835376,5.28438271269116e-08,1.31960226566703e-05
"ENSG00000143869",1.68187386536628,-1.33392484623675,30.3165098450402,6.21909214334044e-08,1.53631637528068e-05
